original_title,budget,revenue,genres,release_year,release_month,runtime,vote_average,vote_count,popularity,top_cast,director,roi
Captain America: Civil War,250000000,1153304495,"Adventure, Action, Science Fiction",2016,4,147.0,7.1,7241,198.37239499999998,"Chris Evans, Robert Downey Jr., Scarlett Johansson",Anthony Russo,3.61321798
Battleship,209000000,303025485,"Thriller, Action, Adventure, Science Fiction",2012,4,131.0,5.5,2114,64.928382,"Taylor Kitsch, Alexander Skarsgård, Rihanna",Peter Berg,0.4498827033492823
Jurassic World,150000000,1513528810,"Action, Adventure, Science Fiction, Thriller",2015,6,124.0,6.5,8662,418.708552,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan",Colin Trevorrow,9.090192066666667
Skyfall,200000000,1108561013,"Action, Adventure, Thriller",2012,10,143.0,6.9,7604,93.004993,"Daniel Craig, Judi Dench, Javier Bardem",Sam Mendes,4.542805065
Spider-Man 2,200000000,783766341,"Action, Adventure, Fantasy",2004,6,127.0,6.7,4321,35.149586,"Tobey Maguire, Kirsten Dunst, James Franco",Sam Raimi,2.918831705
Iron Man 3,200000000,1215439994,"Action, Adventure, Science Fiction",2013,4,130.0,6.8,8806,77.68208,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",Shane Black,5.07719997
Alice in Wonderland,200000000,1025491110,"Family, Fantasy, Adventure",2010,3,108.0,6.4,4645,78.530105,"Mia Wasikowska, Johnny Depp, Anne Hathaway",Tim Burton,4.12745555
X-Men: The Last Stand,210000000,459359555,"Adventure, Action, Science Fiction, Thriller",2006,5,104.0,6.3,3525,3.857526,"Hugh Jackman, Halle Berry, Ian McKellen",Brett Ratner,1.1874264523809523
Monsters University,200000000,743559607,"Animation, Family",2013,6,104.0,7.0,3528,89.186492,"Billy Crystal, John Goodman, Steve Buscemi",Dan Scanlon,2.717798035
Transformers: Revenge of the Fallen,150000000,836297228,"Science Fiction, Action, Adventure",2009,6,150.0,6.0,3138,21.939663,"Shia LaBeouf, Megan Fox, Josh Duhamel",Michael Bay,4.575314853333333
Transformers: Age of Extinction,210000000,1091405097,"Science Fiction, Action, Adventure",2014,6,165.0,5.8,3095,116.840296,"Mark Wahlberg, Stanley Tucci, Kelsey Grammer",Michael Bay,4.1971671285714285
Oz: The Great and Powerful,200000000,491868548,"Fantasy, Adventure, Family",2013,3,130.0,5.7,3530,46.985445,"James Franco, Mila Kunis, Rachel Weisz",Sam Raimi,1.45934274
The Amazing Spider-Man 2,200000000,705717432,"Action, Adventure, Fantasy",2014,4,142.0,6.5,4179,89.270217,"Andrew Garfield, Emma Stone, Jamie Foxx",Marc Webb,2.52858716
TRON: Legacy,170000000,400062763,"Adventure, Action, Science Fiction",2010,12,125.0,6.3,2841,73.79505,"Garrett Hedlund, Jeff Bridges, Olivia Wilde",Joseph Kosinski,1.3533103705882352
Cars 2,200000000,559852396,"Animation, Family, Adventure, Comedy",2011,6,106.0,5.8,2033,49.98659,"Owen Wilson, Larry the Cable Guy, Michael Caine",John Lasseter,1.79926198
Green Lantern,200000000,219851172,"Adventure, Action, Thriller, Science Fiction",2011,6,114.0,5.1,2487,51.872839,"Ryan Reynolds, Blake Lively, Peter Sarsgaard",Martin Campbell,0.09925586
Toy Story 3,200000000,1066969703,"Animation, Family, Comedy",2010,6,103.0,7.6,4597,59.99541800000001,"Tom Hanks, Tim Allen, Ned Beatty",Lee Unkrich,4.334848515
Terminator Salvation,200000000,371353001,"Action, Science Fiction, Thriller",2009,5,115.0,5.9,2463,71.862892,"Christian Bale, Sam Worthington, Anton Yelchin",McG,0.856765005
Furious 7,190000000,1506249360,Action,2015,4,137.0,7.3,4176,102.32221700000001,"Vin Diesel, Paul Walker, Dwayne Johnson",James Wan,6.927628210526316
World War Z,200000000,531865000,"Action, Drama, Horror, Science Fiction, Thriller",2013,6,116.0,6.7,5560,81.834855,"Brad Pitt, Mireille Enos, Abigail Hargrove",Marc Forster,1.659325
X-Men: Days of Future Past,250000000,747862775,"Action, Adventure, Fantasy, Science Fiction",2014,5,131.0,7.5,6032,118.07869099999999,"Hugh Jackman, James McAvoy, Michael Fassbender",Bryan Singer,1.9914511
Star Trek Into Darkness,190000000,467365246,"Action, Adventure, Science Fiction",2013,5,132.0,7.4,4418,78.29101800000001,"Chris Pine, Zachary Quinto, Zoe Saldana",J.J. Abrams,1.4598170842105263
Jack the Giant Slayer,195000000,197687603,"Action, Family, Fantasy",2013,2,114.0,5.5,2598,43.349855,"Nicholas Hoult, Eleanor Tomlinson, Ewan McGregor",Bryan Singer,0.013782579487179487
The Great Gatsby,105000000,351040419,"Drama, Romance",2013,5,143.0,7.3,3769,61.196070999999996,"Leonardo DiCaprio, Tobey Maguire, Carey Mulligan",Baz Luhrmann,2.3432420857142855
Prince of Persia: The Sands of Time,150000000,335154643,"Adventure, Fantasy, Action, Romance",2010,5,116.0,6.2,2317,62.169881000000004,"Jake Gyllenhaal, Gemma Arterton, Ben Kingsley",Mike Newell,1.2343642866666666
Pacific Rim,180000000,407602906,"Action, Science Fiction, Adventure",2013,7,131.0,6.7,4794,56.523205000000004,"Idris Elba, Charlie Hunnam, Charlie Day",Guillermo del Toro,1.264460588888889
Transformers: Dark of the Moon,195000000,1123746996,"Action, Science Fiction, Adventure",2011,6,154.0,6.1,3299,28.529607000000002,"Shia LaBeouf, John Malkovich, Ken Jeong",Michael Bay,4.762805107692308
Indiana Jones and the Kingdom of the Crystal Skull,185000000,786636033,"Adventure, Action",2008,5,122.0,5.7,2495,75.674458,"Harrison Ford, Cate Blanchett, Shia LaBeouf",Steven Spielberg,3.2520866648648648
The Good Dinosaur,175000000,331926147,"Adventure, Animation, Family",2015,11,93.0,6.6,1736,51.692953,"Raymond Ochoa, Jack Bright, Jeffrey Wright",Peter Sohn,0.89672084
Brave,185000000,538983207,"Animation, Adventure, Comedy, Family, Action, Fantasy",2012,6,93.0,6.7,4641,125.114374,"Kelly Macdonald, Julie Walters, Billy Connolly",Brenda Chapman,1.9134227405405406
Star Trek Beyond,185000000,343471816,"Action, Adventure, Science Fiction",2016,7,122.0,6.6,2568,65.352913,"Chris Pine, Zachary Quinto, Karl Urban",Justin Lin,0.8566044108108108
WALL·E,180000000,521311860,"Animation, Family",2008,6,98.0,7.8,6296,66.390712,"Ben Burtt, Elissa Knight, Jeff Garlin",Andrew Stanton,1.896177
Rush Hour 3,140000000,258022233,"Action, Comedy, Crime, Thriller",2007,8,91.0,6.1,783,22.57178,"Chris Tucker, Jackie Chan, Hiroyuki Sanada",Brett Ratner,0.84301595
2012,200000000,769653595,"Action, Adventure, Science Fiction",2009,10,158.0,5.6,4903,45.274225,"John Cusack, Amanda Peet, Chiwetel Ejiofor",Roland Emmerich,2.848267975
A Christmas Carol,200000000,325233863,"Animation, Drama",2009,11,96.0,6.6,1095,39.744242,"Gary Oldman, Jim Carrey, Steve Valentine",Robert Zemeckis,0.626169315
Jupiter Ascending,176000003,183987723,"Science Fiction, Fantasy, Action, Adventure",2015,2,124.0,5.2,2768,85.36908000000001,"Mila Kunis, Channing Tatum, Sean Bean",Lilly Wachowski,0.04538477195366866
The Legend of Tarzan,180000000,356743061,"Action, Adventure",2016,6,109.0,5.5,2430,42.741719,"Alexander Skarsgård, Margot Robbie, Christoph Waltz",David Yates,0.9819058944444444
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",180000000,748806957,"Adventure, Family, Fantasy",2005,12,143.0,6.7,2629,67.391328,"William Moseley, Anna Popplewell, Skandar Keynes",Andrew Adamson,3.16003865
X-Men: Apocalypse,178000000,543934787,Science Fiction,2016,5,144.0,6.4,4721,139.272042,"James McAvoy, Michael Fassbender, Jennifer Lawrence",Bryan Singer,2.0558134101123597
The Dark Knight,185000000,1004558444,"Drama, Action, Crime, Thriller",2008,7,152.0,8.2,12002,187.322927,"Christian Bale, Heath Ledger, Aaron Eckhart",Christopher Nolan,4.430045643243243
Up,175000000,735099082,"Animation, Comedy, Family, Adventure",2009,5,96.0,7.7,6870,92.201962,"Ed Asner, Christopher Plummer, Jordan Nagai",Pete Docter,3.200566182857143
Monsters vs Aliens,175000000,381509870,"Animation, Family, Adventure, Science Fiction",2009,3,94.0,6.0,1423,36.167578000000006,"Seth Rogen, Reese Witherspoon, Hugh Laurie",Conrad Vernon,1.1800564
Iron Man,140000000,585174222,"Action, Science Fiction, Adventure",2008,4,126.0,7.4,8776,120.725053,"Robert Downey Jr., Terrence Howard, Jeff Bridges",Jon Favreau,3.1798158714285716
Hugo,170000000,185770160,"Adventure, Drama, Family",2011,11,126.0,7.0,2141,32.319043,"Ben Kingsley, Sacha Baron Cohen, Asa Butterfield",Martin Scorsese,0.09276564705882354
Wild Wild West,170000000,222104681,"Action, Adventure, Comedy, Science Fiction, Western",1999,6,106.0,5.1,1020,40.748915000000004,"Will Smith, Kevin Kline, Kenneth Branagh",Barry Sonnenfeld,0.30649812352941175
The Mummy: Tomb of the Dragon Emperor,145000000,401128639,"Adventure, Action, Fantasy",2008,7,112.0,5.2,1387,60.034162,"Brendan Fraser, Jet Li, John Hannah",Rob Cohen,1.7664044068965516
Suicide Squad,175000000,745000000,"Action, Adventure, Crime, Fantasy, Science Fiction",2016,8,123.0,5.9,7458,90.23791999999999,"Will Smith, Margot Robbie, Joel Kinnaman",David Ayer,3.257142857142857
Evan Almighty,175000000,173000000,"Fantasy, Comedy, Family",2007,6,96.0,5.3,1151,27.082182,"Steve Carell, Lauren Graham, John Goodman",Tom Shadyac,-0.011428571428571429
Edge of Tomorrow,178000000,370541256,"Action, Science Fiction",2014,5,113.0,7.6,4858,79.456485,"Tom Cruise, Emily Blunt, Brendan Gleeson",Doug Liman,1.0816924494382023
Waterworld,175000000,264218220,"Adventure, Action",1995,7,135.0,5.9,992,44.640291999999995,"Kevin Costner, Chaim Girafi, Rick Aviles",Kevin Reynolds,0.5098184
G.I. Joe: The Rise of Cobra,175000000,302469017,"Adventure, Action, Thriller, Science Fiction",2009,8,118.0,5.6,1962,32.852443,"Dennis Quaid, Channing Tatum, Marlon Wayans",Stephen Sommers,0.7283943828571429
Inside Out,175000000,857611174,"Drama, Comedy, Animation, Family",2015,6,94.0,8.0,6560,128.65596399999998,"Amy Poehler, Phyllis Smith, Richard Kind",Pete Docter,3.90063528
The Jungle Book,175000000,966550600,"Family, Adventure, Drama, Fantasy",2016,4,106.0,6.7,2892,94.19931600000001,"Neel Sethi, Bill Murray, Ben Kingsley",Jon Favreau,4.523146285714286
Iron Man 2,200000000,623933331,"Adventure, Action, Science Fiction",2010,4,124.0,6.6,6849,77.30019399999999,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle",Jon Favreau,2.119666655
Snow White and the Huntsman,170000000,396600000,"Adventure, Fantasy, Drama",2012,5,127.0,5.8,3118,77.178973,"Kristen Stewart, Charlize Theron, Chris Hemsworth",Rupert Sanders,1.3329411764705883
Maleficent,180000000,758539785,"Fantasy, Adventure, Action, Family, Romance",2014,5,97.0,7.0,4496,110.62064699999999,"Angelina Jolie, Elle Fanning, Sharlto Copley",Robert Stromberg,3.2141099166666667
Dawn of the Planet of the Apes,170000000,710644566,"Science Fiction, Action, Drama, Thriller",2014,6,130.0,7.3,4410,243.79174300000003,"Andy Serkis, Jason Clarke, Gary Oldman",Matt Reeves,3.1802621529411765
47 Ronin,175000000,150962475,"Drama, Action, Adventure, Fantasy",2013,12,119.0,5.9,1326,41.796339,"Keanu Reeves, Hiroyuki Sanada, Kou Shibasaki",Carl Rinsch,-0.1373572857142857
Captain America: The Winter Soldier,170000000,714766572,"Action, Adventure, Science Fiction",2014,3,136.0,7.6,5764,72.22526500000001,"Chris Evans, Samuel L. Jackson, Scarlett Johansson",Anthony Russo,3.2045092470588235
Shrek Forever After,165000000,752600867,"Comedy, Adventure, Fantasy, Animation, Family",2010,5,93.0,6.0,1959,44.041185999999996,"Mike Myers, Eddie Murphy, Cameron Diaz",Mike Mitchell,3.561217375757576
Tomorrowland,190000000,209154322,"Adventure, Family, Mystery, Science Fiction",2015,5,130.0,6.2,2846,130.311355,"Britt Robertson, George Clooney, Raffey Cassidy",Brad Bird,0.10081222105263157
Big Hero 6,165000000,652105443,"Adventure, Family, Animation, Action, Comedy",2014,10,102.0,7.8,6135,203.73459,"Scott Adsit, Ryan Potter, Daniel Henney",Chris Williams,2.9521542
Wreck-It Ralph,165000000,471222889,"Family, Animation, Comedy, Adventure",2012,11,108.0,7.1,4570,62.341073,"John C. Reilly, Sarah Silverman, Jack McBrayer",Rich Moore,1.855896296969697
The Polar Express,165000000,305875730,"Adventure, Animation, Family, Fantasy",2004,11,100.0,6.4,1474,47.323228,"Tom Hanks, Michael Jeter, Nona Gaye",Robert Zemeckis,0.8537923030303031
Independence Day: Resurgence,165000000,389681935,"Action, Adventure, Science Fiction",2016,6,120.0,4.9,2491,48.775723,"Liam Hemsworth, Jeff Goldblum, Bill Pullman",Roland Emmerich,1.361708696969697
How to Train Your Dragon,165000000,494878759,"Fantasy, Adventure, Animation, Family",2010,3,98.0,7.5,4227,67.263269,"Jay Baruchel, Gerard Butler, Craig Ferguson",Chris Sanders,1.999265206060606
Terminator 3: Rise of the Machines,200000000,435000000,"Action, Thriller, Science Fiction",2003,7,109.0,5.9,2143,69.405188,"Arnold Schwarzenegger, Nick Stahl, Claire Danes",Jonathan Mostow,1.175
Guardians of the Galaxy,170000000,773328629,"Action, Science Fiction, Adventure",2014,7,121.0,7.9,9742,481.09862400000003,"Chris Pratt, Zoe Saldana, Dave Bautista",James Gunn,3.5489919352941177
Interstellar,165000000,675120017,"Adventure, Drama, Science Fiction",2014,11,169.0,8.1,10867,724.247784,"Matthew McConaughey, Jessica Chastain, Anne Hathaway",Christopher Nolan,3.0916364666666665
Inception,160000000,825532764,"Action, Thriller, Science Fiction, Mystery, Adventure",2010,7,148.0,8.1,13752,167.58371,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page",Christopher Nolan,4.159579775
シン・ゴジラ,15000000,77000000,"Action, Adventure, Drama, Horror, Science Fiction",2016,7,120.0,6.5,143,9.476999000000001,"Hiroki Hasegawa, Yutaka Takenouchi, Satomi Ishihara",Hideaki Anno,4.133333333333334
The Hobbit: An Unexpected Journey,250000000,1021103568,"Adventure, Fantasy, Action",2012,11,169.0,7.0,8297,108.849621,"Ian McKellen, Martin Freeman, Richard Armitage",Peter Jackson,3.084414272
The Fast and the Furious,38000000,207283925,"Action, Crime, Thriller",2001,6,106.0,6.6,3428,6.909942,"Paul Walker, Vin Diesel, Michelle Rodriguez",Rob Cohen,4.454840131578948
The Curious Case of Benjamin Button,150000000,333932083,"Fantasy, Drama, Thriller, Mystery, Romance",2008,11,166.0,7.3,3292,60.269279000000004,"Cate Blanchett, Brad Pitt, Tilda Swinton",David Fincher,1.2262138866666668
X-Men: First Class,160000000,353624124,"Action, Science Fiction, Adventure",2011,5,132.0,7.1,5181,3.195174,"James McAvoy, Michael Fassbender, Jennifer Lawrence",Matthew Vaughn,1.210150775
The Hunger Games: Mockingjay - Part 2,160000000,653428261,"Action, Adventure, Science Fiction",2015,11,137.0,6.6,3984,127.28442700000001,"Jennifer Lawrence, Josh Hutcherson, Liam Hemsworth",Francis Lawrence,3.08392663125
The Sorcerer's Apprentice,150000000,215283742,"Fantasy, Adventure, Action, Comedy, Drama",2010,7,109.0,5.8,1470,35.580815,"Nicolas Cage, Jay Baruchel, Monica Bellucci",Jon Turteltaub,0.43522494666666667
Poseidon,160000000,181674817,"Adventure, Action, Drama, Thriller",2006,5,99.0,5.5,583,21.133748,"Kurt Russell, Richard Dreyfuss, Josh Lucas",Wolfgang Petersen,0.13546760625
Alice Through the Looking Glass,170000000,299370084,Fantasy,2016,5,113.0,6.5,1725,56.268916000000004,"Johnny Depp, Mia Wasikowska, Anne Hathaway",James Bobin,0.761000494117647
Shrek the Third,160000000,798958165,"Fantasy, Adventure, Animation, Comedy, Family",2007,5,93.0,6.0,2278,42.986467,"Mike Myers, Eddie Murphy, Cameron Diaz",Chris Miller,3.99348853125
Warcraft,160000000,433677183,"Action, Adventure, Fantasy",2016,5,123.0,6.3,2268,63.148529,"Paula Patton, Travis Fimmel, Ben Foster",Duncan Jones,1.71048239375
Terminator Genisys,155000000,440603537,"Science Fiction, Action, Thriller, Adventure",2015,6,126.0,5.8,3631,202.04263500000002,"Arnold Schwarzenegger, Jason Clarke, Emilia Clarke",Alan Taylor,1.842603464516129
The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000,415686217,"Adventure, Family, Fantasy",2010,8,113.0,6.2,1514,49.661984000000004,"Skandar Keynes, Georgie Henley, Simon Pegg",Michael Apted,1.6818465612903226
Pearl Harbor,140000000,449220945,"History, Romance, War",2001,5,183.0,6.6,1791,34.20669,"Ben Affleck, Josh Hartnett, Kate Beckinsale",Michael Bay,2.208721035714286
Transformers,150000000,709709780,"Adventure, Science Fiction, Action",2007,6,144.0,6.6,4040,25.468493,"Shia LaBeouf, Josh Duhamel, Megan Fox",Michael Bay,3.7313985333333335
Alexander,155000000,167298192,"War, History, Action, Adventure, Drama, Romance",2004,11,175.0,5.6,927,39.019228999999996,"Colin Farrell, Angelina Jolie, Val Kilmer",Oliver Stone,0.07934317419354839
Harry Potter and the Order of the Phoenix,150000000,938212738,"Adventure, Fantasy, Family, Mystery",2007,6,138.0,7.4,5494,78.14439499999999,"Daniel Radcliffe, Rupert Grint, Emma Watson",David Yates,5.254751586666667
Harry Potter and the Goblet of Fire,150000000,895921036,"Adventure, Fantasy, Family",2005,11,157.0,7.5,5608,101.250416,"Daniel Radcliffe, Rupert Grint, Emma Watson",Mike Newell,4.9728069066666665
Hancock,150000000,624029371,"Fantasy, Action",2008,7,92.0,6.2,2961,56.758410999999995,"Will Smith, Charlize Theron, Jason Bateman",Peter Berg,3.1601958066666667
I Am Legend,150000000,585349010,"Drama, Horror, Action, Thriller, Science Fiction",2007,12,101.0,6.9,4853,70.867401,"Will Smith, Alice Braga, Charlie Tahan",Francis Lawrence,2.902326733333333
Charlie and the Chocolate Factory,150000000,474968763,"Adventure, Comedy, Family, Fantasy",2005,7,115.0,6.7,3624,53.905592000000006,"Johnny Depp, Freddie Highmore, David Kelly",Tim Burton,2.16645842
Ratatouille,150000000,623722818,"Animation, Comedy, Family, Fantasy",2007,6,111.0,7.5,4369,65.677399,"Patton Oswalt, Ian Holm, Lou Romano",Jan Pinkava,3.15815212
Batman Begins,150000000,374218673,"Action, Crime, Drama",2005,6,140.0,7.5,7359,115.040024,"Christian Bale, Michael Caine, Liam Neeson",Christopher Nolan,1.4947911533333333
Madagascar: Escape 2 Africa,150000000,603900354,"Family, Animation",2008,10,89.0,6.2,1810,44.141021,"Ben Stiller, Jada Pinkett Smith, David Schwimmer",Eric Darnell,3.02600236
Night at the Museum: Battle of the Smithsonian,150000000,413106170,"Adventure, Fantasy, Action, Comedy, Family",2009,5,105.0,5.9,1971,81.781591,"Ben Stiller, Amy Adams, Owen Wilson",Shawn Levy,1.7540411333333332
X-Men Origins: Wolverine,150000000,373062864,"Adventure, Action, Thriller, Science Fiction",2009,4,107.0,6.2,4021,5.954333999999999,"Hugh Jackman, Liev Schreiber, Danny Huston",Gavin Hood,1.48708576
The Matrix Revolutions,150000000,424988211,"Adventure, Action, Thriller, Science Fiction",2003,11,129.0,6.4,3096,73.313918,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss",Lilly Wachowski,1.83325474
Frozen,150000000,1274219009,"Animation, Adventure, Family",2013,11,102.0,7.3,5295,165.12536599999999,"Kristen Bell, Idina Menzel, Jonathan Groff",Chris Buck,7.4947933933333335
The Matrix Reloaded,150000000,738599701,"Adventure, Action, Thriller, Science Fiction",2003,5,138.0,6.7,3443,70.78591,"Keanu Reeves, Carrie-Anne Moss, Laurence Fishburne",Lilly Wachowski,3.923998006666667
Thor: The Dark World,170000000,644571402,"Action, Adventure, Fantasy",2013,10,112.0,6.8,4755,99.499595,"Chris Hemsworth, Natalie Portman, Tom Hiddleston",Alan Taylor,2.7915964823529413
Mad Max: Fury Road,150000000,378858340,"Action, Adventure, Science Fiction, Thriller",2015,5,120.0,7.2,9427,434.27856399999996,"Tom Hardy, Charlize Theron, Nicholas Hoult",George Miller,1.5257222666666668
Angels & Demons,150000000,356613439,"Thriller, Mystery",2009,5,138.0,6.5,2129,67.447636,"Tom Hanks, Ewan McGregor, Ayelet Zurer",Ron Howard,1.3774229266666667
Thor,150000000,449326618,"Adventure, Fantasy, Action",2011,4,115.0,6.6,6525,86.493424,"Chris Hemsworth, Natalie Portman, Tom Hiddleston",Kenneth Branagh,1.9955107866666666
Bolt,150000000,309979994,"Animation, Family, Adventure, Comedy",2008,11,98.0,6.3,1750,41.845878000000006,"John Travolta, Miley Cyrus, Susie Essman",Chris Williams,1.0665332933333334
G-Force,150000000,292817841,"Fantasy, Action, Adventure, Family, Comedy",2009,7,88.0,5.1,510,26.710397999999998,"Sam Rockwell, Penélope Cruz, Tracy Morgan",Hoyt Yeatman,0.95211894
Wrath of the Titans,150000000,301000000,Adventure,2012,3,99.0,5.5,1431,44.927634999999995,"Sam Worthington, Liam Neeson, Ralph Fiennes",Jonathan Liebesman,1.0066666666666666
Dark Shadows,150000000,245527149,"Comedy, Fantasy",2012,5,113.0,5.7,2320,50.306728,"Johnny Depp, Michelle Pfeiffer, Helena Bonham Carter",Tim Burton,0.63684766
Mission: Impossible - Rogue Nation,150000000,682330139,"Action, Adventure, Thriller",2015,7,131.0,7.1,3224,114.52223700000002,"Tom Cruise, Rebecca Ferguson, Simon Pegg",Christopher McQuarrie,3.548867593333333
Bee Movie,150000000,287594577,"Family, Animation, Adventure, Comedy",2007,10,91.0,5.7,1171,29.332905,"Jerry Seinfeld, Renée Zellweger, Jim Cummings",Steve Hickner,0.91729718
Kung Fu Panda 2,150000000,665692281,"Animation, Family",2011,5,91.0,6.7,1880,51.247321,"Jack Black, Angelina Jolie, Dustin Hoffman",Jennifer Yuh Nelson,3.43794854
The Last Airbender,150000000,318502923,"Action, Adventure, Family, Fantasy",2010,6,103.0,4.7,1151,33.769335999999996,"Noah Ringer, Nicola Peltz, Jackson Rathbone",M. Night Shyamalan,1.12335282
Mission: Impossible III,150000000,397850012,"Adventure, Action, Thriller",2006,5,126.0,6.5,2028,63.079003,"Tom Cruise, Philip Seymour Hoffman, Ving Rhames",J.J. Abrams,1.6523334133333334
White House Down,150000000,205366737,"Action, Drama, Thriller",2013,6,131.0,6.4,1891,39.004588,"Channing Tatum, Jamie Foxx, Joey King",Roland Emmerich,0.36911158
